COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
1001,1001,5,55,4.843533072555049,1
1001,1001,1,25,4.885812204264465,1
1001,1001,5,35,4.843533072555049,1
1001,1001,5,45,4.760069224241159,1
1001,1001,1,20,4.885812204264465,1
1001,1001,1,40,4.885812204264465,1
1001,1001,5,55,4.801619801198707,1
1001,1001,1,55,4.801619801198707,1
1001,1001,5,30,4.928460389916803,1
1001,1001,5,55,4.801619801198707,1
1001,1001,5,30,4.928460389916803,1
1001,1004,5,25,4.843533072555049,2
1001,1004,5,55,4.843533072555049,2
1001,1053,5,50,4.801619801198707,2
1001,1053,5,55,4.801619801198707,2
1001,1053,5,35,4.971480850978714,2
1001,1053,5,50,4.760069224241159,2
1001,1053,5,35,4.885812204264465,2
1001,1053,5,20,4.801619801198707,2
1001,1053,5,50,4.843533072555049,2
1001,1053,5,35,4.843533072555049,2
1001,1053,5,35,4.843533072555049,2
1001,1053,5,55,4.801619801198707,2
1001,1088,5,50,4.801619801198707,2
1001,1093,5,50,4.801619801198707,2
1001,1093,5,55,4.801619801198707,2
1001,1093,5,40,4.801619801198707,2
1001,1093,5,50,4.843533072555049,2
1001,1093,5,30,4.801619801198707,2
1001,1093,5,50,4.843533072555049,2
1001,1093,5,15,4.843533072555049,2
1001,1093,5,40,4.843533072555049,2
1001,1093,5,55,4.801619801198707,2
1001,1093,5,55,4.885812204264465,2
1001,1093,5,45,4.843533072555049,2
1001,1093,5,15,4.843533072555049,2
1001,1093,5,40,4.843533072555049,2
1001,1093,5,35,4.971480850978714,2
1001,1093,4,15,4.971480850978714,2
1001,1093,5,55,4.801619801198707,2
1001,1093,5,55,4.801619801198707,2
1001,1093,5,20,4.843533072555049,2
1001,1134,5,35,4.885812204264465,2
1001,1166,5,40,4.885812204264465,2
1001,1235,5,20,4.885812204264465,2
1001,1244,5,50,4.801619801198707,2
1001,1261,5,30,4.801619801198707,2
1001,1263,5,45,4.885812204264465,2
1001,1272,5,50,4.760069224241159,2
1001,1295,4,15,4.885812204264465,2
1001,1306,5,45,4.885812204264465,2
1001,1306,5,50,4.801619801198707,2
1001,1322,5,60,4.801619801198707,2
1001,1322,5,30,4.885812204264465,2
1001,1322,5,55,4.885812204264465,2
1001,1343,5,30,4.885812204264465,2
1001,1348,5,30,4.885812204264465,2
1001,1348,5,20,4.843533072555049,2
1001,1351,5,35,4.885812204264465,2
1001,1389,5,30,4.885812204264465,2
1001,1389,5,35,4.885812204264465,2
1001,1412,5,55,4.801619801198707,2
1001,1420,5,50,4.843533072555049,2
1001,1427,5,45,4.885812204264465,2
