,COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
0,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",55 à 59 ans,4.84,Réside dans une commune rurale et travaille dans la même commune
1,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,25 à 29 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
2,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",35 à 39 ans,4.84,Réside dans une commune rurale et travaille dans la même commune
3,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",45 à 49 ans,4.76,Réside dans une commune rurale et travaille dans la même commune
4,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,20 à 24 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
5,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,40 à 44 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
6,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille dans la même commune
7,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,55 à 59 ans,4.8,Réside dans une commune rurale et travaille dans la même commune
8,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",30 à 34 ans,4.93,Réside dans une commune rurale et travaille dans la même commune
11,L'Abergement-Clémenciat (01001),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",25 à 29 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
12,L'Abergement-Clémenciat (01001),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
13,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
14,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
15,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
16,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
17,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
18,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",20 à 24 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
19,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
20,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
23,L'Abergement-Clémenciat (01001),Charnoz-sur-Ain (01088),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
24,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
25,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
26,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",40 à 44 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
27,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
28,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",30 à 34 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
30,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",15 à 19 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
31,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",40 à 44 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
33,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",55 à 59 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
34,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
37,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",35 à 39 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
38,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),Deux-roues motorisé,15 à 19 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
41,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",20 à 24 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
42,L'Abergement-Clémenciat (01001),Crottet (01134),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
43,L'Abergement-Clémenciat (01001),Frans (01166),"Voiture, camion, fourgonnette",40 à 44 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
44,L'Abergement-Clémenciat (01001),Marlieux (01235),"Voiture, camion, fourgonnette",20 à 24 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
45,L'Abergement-Clémenciat (01001),Meximieux (01244),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
46,L'Abergement-Clémenciat (01001),Monthieux (01261),"Voiture, camion, fourgonnette",30 à 34 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
47,L'Abergement-Clémenciat (01001),Montmerle-sur-Saône (01263),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
48,L'Abergement-Clémenciat (01001),Neuville-les-Dames (01272),"Voiture, camion, fourgonnette",50 à 54 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
49,L'Abergement-Clémenciat (01001),Peyzieux-sur-Saône (01295),Deux-roues motorisé,15 à 19 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
50,L'Abergement-Clémenciat (01001),Pont-de-Veyle (01306),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
51,L'Abergement-Clémenciat (01001),Pont-de-Veyle (01306),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
52,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",60 à 64 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
53,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
54,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",55 à 59 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
55,L'Abergement-Clémenciat (01001),Saint-Cyr-sur-Menthon (01343),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
56,L'Abergement-Clémenciat (01001),Saint-Didier-sur-Chalaronne (01348),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
57,L'Abergement-Clémenciat (01001),Saint-Didier-sur-Chalaronne (01348),"Voiture, camion, fourgonnette",20 à 24 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
58,L'Abergement-Clémenciat (01001),Saint-Étienne-sur-Chalaronne (01351),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
59,L'Abergement-Clémenciat (01001),Saint-Trivier-sur-Moignans (01389),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
60,L'Abergement-Clémenciat (01001),Saint-Trivier-sur-Moignans (01389),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
61,L'Abergement-Clémenciat (01001),Sulignat (01412),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
62,L'Abergement-Clémenciat (01001),Thoissey (01420),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
63,L'Abergement-Clémenciat (01001),Trévoux (01427),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
64,L'Abergement-Clémenciat (01001),Trévoux (01427),"Voiture, camion, fourgonnette",35 à 39 ans,4.93,Réside dans une commune rurale et travaille hors de la commune
